id,district,address,total_price,price_per_meter,build_time,num_of_bedrooms,num_of_living_rooms,size,orientation,building_type,num_of_floors
2789,朝阳,学知轩,中价格,中高价格,2001,2,1,稍低价格,西南,低楼层 ,21
2790,朝阳,嘉铭桐城D区,高价格,高价格,2006,2,2,中高价格,南 北,顶层 ,15
2791,朝阳,政泰家园,中价格,中高价格,2004,2,1,稍低价格,西,低楼层 ,22
2792,朝阳,朝阳公园西里北区,中价格,中高价格,1993,2,1,稍低价格,东 西,高楼层 ,6
2793,朝阳,华润西山墅,高价格,稍低价格,2014,5,2,高价格,南 北,底层 ,3
2794,朝阳,月亮湾,中高价格,低价格,2001,4,2,高价格,东 南 西 北,底层 ,3
2795,朝阳,紫竹院南路20号院,中价格,高价格,1985,2,1,低价格,南 北,中楼层 ,6
2796,朝阳,王致和腐乳厂宿舍,中价格,中高价格,1994,2,1,低价格,南 北,顶层 ,6
2797,朝阳,永定路1号院,中价格,高价格,1980,2,1,低价格,南 北,中楼层 ,5
2798,朝阳,世纪龙祥嘉园,中价格,中价格,2003,2,1,中价格,西南,高楼层 ,13
2799,朝阳,小黄庄前街,中高价格,中高价格,1996,3,1,中价格,南 北,中楼层 ,7
2800,朝阳,常青藤嘉园,高价格,高价格,2005,2,1,稍低价格,西南,高楼层 ,22
2801,朝阳,惠新北里,中价格,中高价格,1995,2,1,稍低价格,西南,顶层 ,16
2802,朝阳,西直门外南路,中价格,高价格,1984,1,1,低价格,南,中楼层 ,18
2803,朝阳,中环南路3号院,稍低价格,中高价格,1989,1,1,低价格,南,低楼层 ,6
2804,朝阳,弘燕路小区,稍低价格,中价格,1997,1,1,低价格,南,中楼层 ,6
2805,朝阳,都景苑,中高价格,中高价格,2001,3,1,中价格,东北,低楼层 ,23
2806,朝阳,水碓子东路,稍低价格,中高价格,1987,2,1,低价格,南 北,低楼层 ,6
2807,朝阳,报国寺西夹道32号院,中价格,高价格,1984,2,1,低价格,南 北,中楼层 ,5
2808,朝阳,中环南路11号院,中价格,高价格,1997,2,1,稍低价格,南 北,低楼层 ,6
2809,朝阳,安贞西里,中价格,高价格,1987,2,1,低价格,南 北,高楼层 ,6
2810,朝阳,南郎家园,中高价格,中高价格,1994,3,1,稍低价格,南 西 北,底层 ,6
2811,朝阳,鑫德嘉园,高价格,高价格,2000,2,1,中价格,西,低楼层 ,20
2812,朝阳,大成国际,稍低价格,中高价格,2007,1,0,低价格,西,低楼层 ,21
2813,朝阳,望馨花园,高价格,中高价格,2001,3,2,中价格,东 西,低楼层 ,28
2814,朝阳,新荣家园,高价格,高价格,2000,3,1,中高价格,东南 南,中楼层 ,25
2815,朝阳,刘兰塑,中高价格,高价格,1989,2,1,低价格,南 北,地下室 ,4
2816,朝阳,华贸城,中高价格,中高价格,2011,2,1,稍低价格,东南,顶层 ,28
2817,朝阳,万科东第,高价格,中高价格,2007,3,2,高价格,东南 北,中楼层 ,21
2818,朝阳,清上园,中高价格,中高价格,2003,2,2,中高价格,东南,中楼层 ,19
2819,朝阳,青荷里南山园,稍低价格,中价格,2015,2,1,稍低价格,南 北,中楼层 ,29
2820,朝阳,工商大学东校区,中高价格,高价格,1980,2,1,低价格,东 西,底层 ,6
2821,朝阳,如意园,稍低价格,中价格,2000,2,1,稍低价格,东 西,中楼层 ,6
2822,朝阳,杨庄中区,中价格,中价格,1999,3,1,稍低价格,南 北,中楼层 ,6
2823,朝阳,双花园南里二区,中价格,中高价格,2002,1,1,稍低价格,西南,低楼层 ,22
2824,朝阳,六铺炕三区,高价格,高价格,1982,2,1,稍低价格,南,中楼层 ,6
2825,朝阳,新起点嘉园,高价格,高价格,2003,1,0,低价格,东,高楼层 ,18
2826,朝阳,大石桥胡同29号院,高价格,高价格,1981,2,1,低价格,南 北,中楼层 ,6
2827,朝阳,旅游新村,稍低价格,中价格,1996,2,2,中价格,南 北 东,中楼层 ,6
2828,朝阳,金沟河5号院,中价格,高价格,1992,2,1,低价格,南 北,底层 ,5
2829,朝阳,亚奥观典,中价格,高价格,2008,1,1,低价格,东,低楼层 ,22
2830,朝阳,二七剧场路,中高价格,高价格,1974,2,1,低价格,东,中楼层 ,6
2831,朝阳,运河明珠,中价格,中价格,2008,2,1,中价格,南,中楼层 ,29
2832,朝阳,八角北路11号院,稍低价格,中价格,1991,1,1,低价格,南,底层 ,6
2833,朝阳,金蝉南里五宜社区,中高价格,中价格,2007,3,1,中价格,西南,中楼层 ,11
2834,朝阳,建予园,中高价格,中高价格,1999,3,1,中价格,东北,高楼层 ,16
2835,朝阳,环山村,中价格,中价格,1995,3,1,中价格,南 北,高楼层 ,6
2836,朝阳,苹果社区南区,中价格,高价格,2005,1,0,低价格,北,高楼层 ,22
2837,朝阳,高第小区,中高价格,高价格,2005,2,1,稍低价格,北,中楼层 ,16
2838,朝阳,双裕花园西区,中价格,稍低价格,1999,3,1,中高价格,南 北,中楼层 ,7
2839,朝阳,非常生活,稍低价格,中高价格,2004,1,0,低价格,北,顶层 ,23
2840,朝阳,夏霖园,中高价格,高价格,2003,2,1,稍低价格,南 北,顶层 ,6
2841,朝阳,广义街甲6号院,中价格,高价格,1986,2,1,低价格,南 北,低楼层 ,6
2842,朝阳,普惠北里,高价格,高价格,1991,3,1,稍低价格,南 北,中楼层 ,6
2843,朝阳,嘉铭桐城E区,高价格,高价格,2006,3,1,中高价格,南 北,高楼层 ,15
2844,朝阳,双柳巷,稍低价格,中价格,1995,2,1,稍低价格,南,高楼层 ,6
2845,朝阳,万科四季花城,中价格,中价格,2008,3,1,中价格,南 北,高楼层 ,11
2846,朝阳,禧瑞都,高价格,高价格,2009,1,1,中价格,西,中楼层 ,28
2847,朝阳,风格派,中价格,高价格,2011,1,0,低价格,西,中楼层 ,19
2848,朝阳,UHN国际村,中价格,高价格,2006,1,0,低价格,西北,顶层 ,28
2849,朝阳,东润枫景二期,高价格,中高价格,2000,3,1,中高价格,西南,高楼层 ,18
2850,朝阳,燕归宁馨园,中高价格,中价格,2005,3,2,中高价格,南 北,高楼层 ,12
2851,朝阳,京贸国际公寓,稍低价格,稍低价格,2004,2,1,中价格,西南,中楼层 ,29
2852,朝阳,五芳园,稍低价格,中价格,1993,3,1,稍低价格,东 南 北,高楼层 ,6
2853,朝阳,臻园,高价格,高价格,2014,4,2,高价格,南 北,低楼层 ,16
2854,朝阳,摩卡空间,稍低价格,中价格,2005,2,1,稍低价格,东南,高楼层 ,17
2855,朝阳,嘉铭桐城A区,高价格,高价格,2001,2,1,中价格,东 西,低楼层 ,12
2856,朝阳,天秀花园古月园,高价格,高价格,2002,3,2,高价格,南 北,中楼层 ,7
2857,朝阳,东方银座,高价格,中高价格,2003,3,1,中高价格,东 北,中楼层 ,26
2858,朝阳,新风北街,高价格,高价格,1995,2,1,稍低价格,东 西,中楼层 ,6
2859,朝阳,亮丽园,高价格,高价格,2004,3,2,中高价格,南 北,中楼层 ,12
2860,朝阳,金汉绿港五区,中价格,中价格,2012,3,2,中高价格,南 北,低楼层 ,18
2861,朝阳,希格玛公寓,高价格,中高价格,1997,3,2,高价格,东 南,中楼层 ,20
2862,朝阳,郝家湾,中高价格,高价格,1974,3,1,稍低价格,南 西 北,底层 ,5
2863,朝阳,霞光里30号院,稍低价格,中高价格,1991,2,1,低价格,南 北,高楼层 ,6
2864,朝阳,榆苑公寓,中高价格,高价格,1999,2,1,低价格,南 北,底层 ,7
2865,朝阳,远洋德邑,高价格,高价格,2002,2,2,中高价格,南 北,中楼层 ,12
2866,朝阳,景泰西里西区,中高价格,中高价格,2005,3,1,中价格,南,顶层 ,8
